Geography,Year,Sex,Age,Disease Name,Crude Rate,Cases,Population,Standard Error,Standard Score,Alberta Rate
AB,2000,FEMALE,ALL,Chlamydia,284.78,4234.0,1486762.0,4.37,0.0,284.78
AB,2000,FEMALE,ALL,Gonorrhea,16.14,240.0,1486762.0,1.04,0.0,16.14
AB,2000,FEMALE,ALL,Infectious syphilis,0.27,4.0,1486762.0,0.13,0.0,0.27
AB,2000,FEMALE,ALL,Mucopurulent Cervicitis,42.64,634.0,1486762.0,1.6900000000000002,0.0,42.64
AB,2000,FEMALE,ALL,Non-Gonococcal Urethritis,0.07,1.0,1486762.0,0.07,0.0,0.07
AB,2000,FEMALE,ALL,Non-infectious syphilis,1.08,16.0,1486762.0,0.27,0.0,1.08
AB,2000,MALE,ALL,Chlamydia,106.36000000000001,1614.0,1517436.0,2.65,0.0,106.36000000000001
AB,2000,MALE,ALL,Gonorrhea,21.220000000000002,322.0,1517436.0,1.1800000000000002,0.0,21.220000000000002
AB,2000,MALE,ALL,Infectious syphilis,0.8600000000000001,13.0,1517436.0,0.24000000000000002,0.0,0.8600000000000001
AB,2000,MALE,ALL,Mucopurulent Cervicitis,0.0,0.0,1517436.0,0.13,0.0,0.0
AB,2000,MALE,ALL,Non-Gonococcal Urethritis,109.33000000000001,1659.0,1517436.0,2.68,0.0,109.33000000000001
AB,2000,MALE,ALL,Non-infectious syphilis,1.2500000000000002,19.0,1517436.0,0.29000000000000004,0.0,1.2500000000000002
AB,2000,BOTH,ALL,Chlamydia,194.66000000000003,5848.0,3004199.0,2.54,0.0,194.66000000000003
AB,2000,BOTH,ALL,Gonorrhea,18.71,562.0,3004199.0,0.79,0.0,18.71
AB,2000,BOTH,ALL,Infectious syphilis,0.5700000000000001,17.0,3004199.0,0.14,0.0,0.5700000000000001
AB,2000,BOTH,ALL,Mucopurulent Cervicitis,21.1,634.0,3004199.0,0.8400000000000001,0.0,21.1
AB,2000,BOTH,ALL,Non-Gonococcal Urethritis,55.260000000000005,1660.0,3004199.0,1.36,0.0,55.260000000000005
AB,2000,BOTH,ALL,Non-infectious syphilis,1.1700000000000002,35.0,3004199.0,0.2,0.0,1.1700000000000002
AB,2000,FEMALE,00to14,Chlamydia,19.610000000000003,60.0,306023.0,2.53,0.0,19.610000000000003
AB,2000,FEMALE,00to14,Gonorrhea,1.9600000000000002,6.0,306023.0,0.8,0.0,1.9600000000000002
AB,2000,FEMALE,00to14,Infectious syphilis,0.0,0.0,306023.0,0.6500000000000001,0.0,0.0
AB,2000,FEMALE,00to14,Mucopurulent Cervicitis,0.6500000000000001,2.0,306023.0,0.46,0.0,0.6500000000000001
AB,2000,FEMALE,00to14,Non-Gonococcal Urethritis,0.0,0.0,306023.0,0.6500000000000001,0.0,0.0
AB,2000,FEMALE,00to14,Non-infectious syphilis,0.0,0.0,306023.0,0.6500000000000001,0.0,0.0
AB,2000,MALE,00to14,Chlamydia,2.47,8.0,323307.0,0.8700000000000001,0.0,2.47
AB,2000,MALE,00to14,Gonorrhea,0.6200000000000001,2.0,323307.0,0.44,0.0,0.6200000000000001
AB,2000,MALE,00to14,Infectious syphilis,0.0,0.0,323307.0,0.6200000000000001,0.0,0.0
AB,2000,MALE,00to14,Mucopurulent Cervicitis,0.0,0.0,323307.0,0.6200000000000001,0.0,0.0
AB,2000,MALE,00to14,Non-Gonococcal Urethritis,1.2400000000000002,4.0,323307.0,0.6200000000000001,0.0,1.2400000000000002
AB,2000,MALE,00to14,Non-infectious syphilis,0.0,0.0,323307.0,0.6200000000000001,0.0,0.0
AB,2000,BOTH,00to14,Chlamydia,10.81,68.0,629330.0,1.31,0.0,10.81
AB,2000,BOTH,00to14,Gonorrhea,1.2700000000000002,8.0,629330.0,0.45,0.0,1.2700000000000002
AB,2000,BOTH,00to14,Infectious syphilis,0.0,0.0,629330.0,0.32000000000000006,0.0,0.0
AB,2000,BOTH,00to14,Mucopurulent Cervicitis,0.32000000000000006,2.0,629330.0,0.22,0.0,0.32000000000000006
AB,2000,BOTH,00to14,Non-Gonococcal Urethritis,0.6400000000000001,4.0,629330.0,0.32000000000000006,0.0,0.6400000000000001
AB,2000,BOTH,00to14,Non-infectious syphilis,0.0,0.0,629330.0,0.32000000000000006,0.0,0.0
AB,2000,FEMALE,15to19,Chlamydia,1547.21,1676.0,108324.0,37.5,0.0,1547.21
AB,2000,FEMALE,15to19,Gonorrhea,72.93,79.0,108324.0,8.200000000000001,0.0,72.93
AB,2000,FEMALE,15to19,Infectious syphilis,0.0,0.0,108324.0,1.85,0.0,0.0
AB,2000,FEMALE,15to19,Mucopurulent Cervicitis,182.78000000000003,198.0,108324.0,12.98,0.0,182.78000000000003
AB,2000,FEMALE,15to19,Non-Gonococcal Urethritis,0.0,0.0,108324.0,1.85,0.0,0.0
AB,2000,FEMALE,15to19,Non-infectious syphilis,0.0,0.0,108324.0,1.85,0.0,0.0
AB,2000,MALE,15to19,Chlamydia,223.34,256.0,114623.0,13.94,0.0,223.34
AB,2000,MALE,15to19,Gonorrhea,27.92,32.0,114623.0,4.930000000000001,0.0,27.92
AB,2000,MALE,15to19,Infectious syphilis,0.0,0.0,114623.0,1.7400000000000002,0.0,0.0
AB,2000,MALE,15to19,Mucopurulent Cervicitis,0.0,0.0,114623.0,1.7400000000000002,0.0,0.0
AB,2000,MALE,15to19,Non-Gonococcal Urethritis,184.95000000000002,212.0,114623.0,12.690000000000001,0.0,184.95000000000002
AB,2000,MALE,15to19,Non-infectious syphilis,0.0,0.0,114623.0,1.7400000000000002,0.0,0.0
AB,2000,BOTH,15to19,Chlamydia,866.57,1932.0,222947.0,19.630000000000003,0.0,866.57
AB,2000,BOTH,15to19,Gonorrhea,49.790000000000006,111.0,222947.0,4.72,0.0,49.790000000000006
AB,2000,BOTH,15to19,Infectious syphilis,0.0,0.0,222947.0,0.9,0.0,0.0
AB,2000,BOTH,15to19,Mucopurulent Cervicitis,88.81000000000002,198.0,222947.0,6.3100000000000005,0.0,88.81000000000002
AB,2000,BOTH,15to19,Non-Gonococcal Urethritis,95.09,212.0,222947.0,6.53,0.0,95.09
AB,2000,BOTH,15to19,Non-infectious syphilis,0.0,0.0,222947.0,0.9,0.0,0.0
AB,2000,FEMALE,20to24,Chlamydia,1555.3400000000001,1666.0,107115.0,37.81,0.0,1555.3400000000001
AB,2000,FEMALE,20to24,Gonorrhea,72.82,78.0,107115.0,8.24,0.0,72.82
AB,2000,FEMALE,20to24,Infectious syphilis,0.93,1.0,107115.0,0.93,0.0,0.93
AB,2000,FEMALE,20to24,Mucopurulent Cervicitis,176.45000000000002,189.0,107115.0,12.82,0.0,176.45000000000002
AB,2000,FEMALE,20to24,Non-Gonococcal Urethritis,0.0,0.0,107115.0,1.87,0.0,0.0
AB,2000,FEMALE,20to24,Non-infectious syphilis,1.87,2.0,107115.0,1.32,0.0,1.87
AB,2000,MALE,20to24,Chlamydia,573.0,661.0,115358.0,22.220000000000002,0.0,573.0
AB,2000,MALE,20to24,Gonorrhea,51.15,59.0,115358.0,6.66,0.0,51.15
AB,2000,MALE,20to24,Infectious syphilis,0.0,0.0,115358.0,1.7300000000000002,0.0,0.0
AB,2000,MALE,20to24,Mucopurulent Cervicitis,0.0,0.0,115358.0,1.7300000000000002,0.0,0.0
AB,2000,MALE,20to24,Non-Gonococcal Urethritis,467.24000000000007,539.0,115358.0,20.08,0.0,467.24000000000007
AB,2000,MALE,20to24,Non-infectious syphilis,0.0,0.0,115358.0,1.7300000000000002,0.0,0.0
AB,2000,BOTH,20to24,Chlamydia,1045.97,2327.0,222473.0,21.57,0.0,1045.97
AB,2000,BOTH,20to24,Gonorrhea,61.58,137.0,222473.0,5.26,0.0,61.58
