Geography,Year,Sex,Age,Disease Name,Case Counts
Z1.1,2019Q1,FEMALE,ALL,Gonorrhea,5.0
Z1.1,2019Q1,FEMALE,ALL,Infectious Syphilis,0.0
Z1.1,2019Q1,FEMALE,ALL,Non-infectious Syphilis,1.0
Z1.1,2019Q1,MALE,ALL,Gonorrhea,5.0
Z1.1,2019Q1,MALE,ALL,Infectious Syphilis,1.0
Z1.1,2019Q1,MALE,ALL,Non-infectious Syphilis,1.0
Z1.1,2019Q1,BOTH,ALL,Gonorrhea,10.0
Z1.1,2019Q1,BOTH,ALL,Infectious Syphilis,1.0
Z1.1,2019Q1,BOTH,ALL,Non-infectious Syphilis,2.0
Z1.1,2019Q2,FEMALE,ALL,Gonorrhea,6.0
Z1.1,2019Q2,FEMALE,ALL,Infectious Syphilis,0.0
Z1.1,2019Q2,FEMALE,ALL,Non-infectious Syphilis,0.0
Z1.1,2019Q2,MALE,ALL,Gonorrhea,5.0
Z1.1,2019Q2,MALE,ALL,Infectious Syphilis,0.0
Z1.1,2019Q2,MALE,ALL,Non-infectious Syphilis,0.0
Z1.1,2019Q2,BOTH,ALL,Gonorrhea,11.0
Z1.1,2019Q2,BOTH,ALL,Infectious Syphilis,0.0
Z1.1,2019Q2,BOTH,ALL,Non-infectious Syphilis,0.0
Z1.1,2019Q3,FEMALE,ALL,Gonorrhea,4.0
Z1.1,2019Q3,FEMALE,ALL,Infectious Syphilis,0.0
Z1.1,2019Q3,FEMALE,ALL,Non-infectious Syphilis,1.0
Z1.1,2019Q3,MALE,ALL,Gonorrhea,6.0
Z1.1,2019Q3,MALE,ALL,Infectious Syphilis,1.0
Z1.1,2019Q3,MALE,ALL,Non-infectious Syphilis,1.0
Z1.1,2019Q3,BOTH,ALL,Gonorrhea,10.0
Z1.1,2019Q3,BOTH,ALL,Infectious Syphilis,1.0
Z1.1,2019Q3,BOTH,ALL,Non-infectious Syphilis,2.0
Z1.1,2019Q4,FEMALE,ALL,Gonorrhea,2.0
Z1.1,2019Q4,FEMALE,ALL,Infectious Syphilis,2.0
Z1.1,2019Q4,FEMALE,ALL,Non-infectious Syphilis,0.0
Z1.1,2019Q4,MALE,ALL,Gonorrhea,6.0
Z1.1,2019Q4,MALE,ALL,Infectious Syphilis,0.0
Z1.1,2019Q4,MALE,ALL,Non-infectious Syphilis,0.0
Z1.1,2019Q4,BOTH,ALL,Gonorrhea,8.0
Z1.1,2019Q4,BOTH,ALL,Infectious Syphilis,2.0
Z1.1,2019Q4,BOTH,ALL,Non-infectious Syphilis,0.0
Z1.1,2020Q1,FEMALE,ALL,Gonorrhea,12.0
Z1.1,2020Q1,FEMALE,ALL,Infectious Syphilis,0.0
Z1.1,2020Q1,FEMALE,ALL,Non-infectious Syphilis,1.0
Z1.1,2020Q1,MALE,ALL,Gonorrhea,8.0
Z1.1,2020Q1,MALE,ALL,Infectious Syphilis,1.0
Z1.1,2020Q1,MALE,ALL,Non-infectious Syphilis,0.0
Z1.1,2020Q1,BOTH,ALL,Gonorrhea,20.0
Z1.1,2020Q1,BOTH,ALL,Infectious Syphilis,1.0
Z1.1,2020Q1,BOTH,ALL,Non-infectious Syphilis,1.0
Z1.1,2020Q2,FEMALE,ALL,Gonorrhea,4.0
Z1.1,2020Q2,FEMALE,ALL,Infectious Syphilis,3.0
Z1.1,2020Q2,FEMALE,ALL,Non-infectious Syphilis,0.0
Z1.1,2020Q2,MALE,ALL,Gonorrhea,2.0
Z1.1,2020Q2,MALE,ALL,Infectious Syphilis,1.0
